area,bedrooms,bathrooms,property_age,parking,location,property_type,price,owner_name,owner_phone,owner_email
2113,2,1,13,1,Whitefield,Apartment,322.45,Arjun Reddy,9400442633,arjun.reddy@gmail.com
1933,3,3,12,0,HSR Layout,Apartment,343.61,Sneha Patil,9087896207,sneha.patil@gmail.com
2329,2,4,9,1,Yelahanka,Apartment,246.4,Vikram Singh,9542074631,vikram.singh@gmail.com
3672,4,5,18,3,Marathahalli,Independent House,461.64,Meera Joshi,9941401082,meera.joshi@gmail.com
905,3,1,14,3,Koramangala,Independent House,191.0,Sneha Patil,9618246289,sneha.patil@gmail.com
1842,3,3,1,1,BTM,Villa,278.38,Meera Joshi,9494343046,meera.joshi@gmail.com
1993,4,3,4,3,BTM,Independent House,303.02,Sneha Patil,9098097101,sneha.patil@gmail.com
4827,5,2,10,3,Yelahanka,Independent House,506.7,Priya Rao,9193601778,priya.rao@gmail.com
932,2,5,0,1,BTM,Apartment,150.48,Arjun Reddy,9695512926,arjun.reddy@gmail.com
4136,4,5,13,0,Indiranagar,Independent House,933.42,Anil Sharma,9048804372,anil.sharma@gmail.com
1210,5,2,6,2,Indiranagar,Apartment,292.2,Priya Rao,9302228577,priya.rao@gmail.com
4564,3,1,11,1,Koramangala,Villa,924.3,Rajesh Kumar,9924434129,rajesh.kumar@gmail.com
4533,5,5,11,2,BTM,Apartment,664.12,Meera Joshi,9076890307,meera.joshi@gmail.com
3206,4,1,2,2,Marathahalli,Villa,405.72,Rajesh Kumar,9195403701,rajesh.kumar@gmail.com
4738,3,2,19,1,Yelahanka,Villa,483.3,Arjun Reddy,9857855160,arjun.reddy@gmail.com
3265,5,1,11,0,Electronic City,Independent House,315.35,Meera Joshi,9719919816,meera.joshi@gmail.com
1299,2,1,9,1,BTM,Villa,189.36,Meera Joshi,9607138957,meera.joshi@gmail.com
2837,2,2,7,0,BTM,Villa,407.68,Anil Sharma,9409369740,anil.sharma@gmail.com
2977,2,3,7,1,BTM,Independent House,429.28,Anil Sharma,9733487948,anil.sharma@gmail.com
4050,3,1,4,3,Yelahanka,Villa,420.0,Arjun Reddy,9318864890,arjun.reddy@gmail.com
1122,4,4,10,2,Yelahanka,Apartment,135.2,Meera Joshi,9382556549,meera.joshi@gmail.com
1622,3,2,20,1,Whitefield,Independent House,252.3,Rajesh Kumar,9465241292,rajesh.kumar@gmail.com
3665,5,2,13,0,HSR Layout,Apartment,645.55,Priya Rao,9427498035,priya.rao@gmail.com
2684,1,3,15,2,Yelahanka,Independent House,271.9,Sneha Patil,9191874824,sneha.patil@gmail.com
3892,5,5,8,0,Yelahanka,Independent House,420.2,Rajesh Kumar,9905515457,rajesh.kumar@gmail.com
880,5,3,9,3,Koramangala,Apartment,202.5,Rajesh Kumar,9895133073,rajesh.kumar@gmail.com
1627,5,1,3,0,Whitefield,Villa,269.55,Vikram Singh,9116052348,vikram.singh@gmail.com
2354,1,1,17,3,Marathahalli,Villa,280.98,Meera Joshi,9884145274,meera.joshi@gmail.com
1434,5,1,7,1,BTM,Independent House,224.26,Rajesh Kumar,9579711478,rajesh.kumar@gmail.com
2531,3,1,9,0,Koramangala,Apartment,518.7,Priya Rao,9263650668,priya.rao@gmail.com
4340,3,1,0,3,Electronic City,Independent House,407.6,Arjun Reddy,9947454616,arjun.reddy@gmail.com
3679,1,4,19,2,BTM,Independent House,518.56,Anil Sharma,9945575556,anil.sharma@gmail.com
2374,4,2,3,0,Yelahanka,Independent House,259.9,Anil Sharma,9402754422,anil.sharma@gmail.com
4865,5,2,20,0,Marathahalli,Independent House,602.8,Meera Joshi,9492036199,meera.joshi@gmail.com
1916,3,2,0,2,Indiranagar,Villa,440.52,Rajesh Kumar,9274718579,rajesh.kumar@gmail.com
3864,2,5,16,1,Koramangala,Apartment,784.8,Vikram Singh,9114033663,vikram.singh@gmail.com
4023,3,2,16,3,Indiranagar,Villa,896.06,Anil Sharma,9940224228,anil.sharma@gmail.com
1309,5,4,0,2,BTM,Independent House,216.26,Arjun Reddy,9753675161,arjun.reddy@gmail.com
2034,3,1,17,2,Koramangala,Independent House,415.3,Arjun Reddy,9468925186,arjun.reddy@gmail.com
4779,3,5,6,3,Whitefield,Villa,738.85,Meera Joshi,9370772950,meera.joshi@gmail.com
1269,5,2,11,0,Yelahanka,Apartment,150.4,Anil Sharma,9877171814,anil.sharma@gmail.com
4323,2,2,10,2,Marathahalli,Villa,527.76,Vikram Singh,9808314900,vikram.singh@gmail.com
724,2,2,13,3,Whitefield,Villa,116.1,Anil Sharma,9043000696,anil.sharma@gmail.com
3168,4,1,13,2,HSR Layout,Villa,554.06,Vikram Singh,9086295962,vikram.singh@gmail.com
2548,2,5,1,1,Marathahalli,Apartment,325.26,Priya Rao,9323313686,priya.rao@gmail.com
1680,3,3,15,1,HSR Layout,Independent House,299.1,Vikram Singh,9236196559,vikram.singh@gmail.com
4185,3,5,17,0,Whitefield,Villa,644.25,Arjun Reddy,9517673569,arjun.reddy@gmail.com
3622,5,5,13,0,Yelahanka,Apartment,390.7,Rajesh Kumar,9862155440,rajesh.kumar@gmail.com
2136,1,1,1,1,Indiranagar,Independent House,476.42,Anil Sharma,9438570528,anil.sharma@gmail.com
4263,5,5,16,0,BTM,Apartment,623.82,Rajesh Kumar,9735503093,rajesh.kumar@gmail.com
1261,2,2,13,2,Yelahanka,Villa,133.6,Rajesh Kumar,9119160500,rajesh.kumar@gmail.com
742,5,1,4,0,Yelahanka,Villa,99.2,Sneha Patil,9445700785,sneha.patil@gmail.com
4206,1,4,1,3,BTM,Apartment,601.34,Vikram Singh,9630390968,vikram.singh@gmail.com
4972,5,2,2,2,Indiranagar,Apartment,1121.84,Anil Sharma,9087113924,anil.sharma@gmail.com
4290,5,4,6,3,Marathahalli,Villa,544.8,Arjun Reddy,9081680159,arjun.reddy@gmail.com
614,5,4,19,0,HSR Layout,Apartment,127.88,Sneha Patil,9302280786,sneha.patil@gmail.com
4088,3,2,7,2,Yelahanka,Villa,424.3,Anil Sharma,9024666234,anil.sharma@gmail.com
2573,1,3,2,0,Electronic City,Independent House,241.57,Rajesh Kumar,9523033754,rajesh.kumar@gmail.com
2110,5,4,16,2,HSR Layout,Apartment,383.7,Arjun Reddy,9282728643,arjun.reddy@gmail.com
2861,2,5,16,1,Yelahanka,Villa,298.1,Vikram Singh,9455953943,vikram.singh@gmail.com
3434,4,5,12,3,BTM,Apartment,504.76,Priya Rao,9817263450,priya.rao@gmail.com
2418,3,2,7,2,Electronic City,Apartment,233.12,Meera Joshi,9326257993,meera.joshi@gmail.com
2811,5,1,11,0,Whitefield,Independent House,443.15,Vikram Singh,9850840431,vikram.singh@gmail.com
1465,3,2,20,3,Koramangala,Villa,302.0,Priya Rao,9671300555,priya.rao@gmail.com
4729,1,4,14,1,BTM,Apartment,668.06,Anil Sharma,9191636128,anil.sharma@gmail.com
3236,5,1,8,0,Koramangala,Villa,670.2,Rajesh Kumar,9500596509,rajesh.kumar@gmail.com
3899,5,5,12,1,Yelahanka,Independent House,418.9,Meera Joshi,9833711751,meera.joshi@gmail.com
2499,1,2,3,3,Koramangala,Apartment,507.3,Meera Joshi,9762082787,meera.joshi@gmail.com
3491,4,2,5,1,Marathahalli,Villa,440.42,Anil Sharma,9503090598,anil.sharma@gmail.com
4669,5,2,20,0,Whitefield,Villa,719.35,Rajesh Kumar,9877706467,rajesh.kumar@gmail.com
2297,3,3,7,1,Indiranagar,Independent House,522.84,Sneha Patil,9997933446,sneha.patil@gmail.com
4212,3,2,9,3,Yelahanka,Villa,435.7,Arjun Reddy,9363325000,arjun.reddy@gmail.com
2764,2,2,3,2,HSR Layout,Villa,482.38,Meera Joshi,9192723320,meera.joshi@gmail.com
4981,4,3,5,1,Whitefield,Apartment,770.65,Anil Sharma,9564832164,anil.sharma@gmail.com
1158,3,5,7,2,Whitefield,Independent House,195.2,Meera Joshi,9393561814,meera.joshi@gmail.com
4726,2,5,3,0,HSR Layout,Apartment,821.92,Sneha Patil,9528679271,sneha.patil@gmail.com
4783,4,3,7,1,Marathahalli,Villa,596.46,Arjun Reddy,9458334188,arjun.reddy@gmail.com
2987,1,2,14,0,Koramangala,Apartment,599.4,Priya Rao,9934669424,priya.rao@gmail.com
3703,3,2,0,3,Electronic City,Independent House,352.27,Sneha Patil,9097792236,sneha.patil@gmail.com
662,2,1,11,3,HSR Layout,Villa,119.04,Anil Sharma,9494780684,anil.sharma@gmail.com
4949,1,5,10,1,Electronic City,Villa,455.41,Anil Sharma,9676903999,anil.sharma@gmail.com
2669,1,5,3,2,Indiranagar,Independent House,600.68,Meera Joshi,9139298792,meera.joshi@gmail.com
679,1,2,18,1,Whitefield,Independent House,101.85,Rajesh Kumar,9056539367,rajesh.kumar@gmail.com
1243,2,1,13,1,Indiranagar,Apartment,278.96,Arjun Reddy,9737722284,arjun.reddy@gmail.com
4855,3,5,8,0,Whitefield,Villa,749.25,Arjun Reddy,9109884804,arjun.reddy@gmail.com
896,5,4,20,3,Whitefield,Apartment,157.4,Rajesh Kumar,9502868526,rajesh.kumar@gmail.com
1225,4,2,6,3,Electronic City,Independent House,131.25,Arjun Reddy,9618227083,arjun.reddy@gmail.com
1188,2,5,10,0,HSR Layout,Villa,216.96,Priya Rao,9291386106,priya.rao@gmail.com
1223,3,4,6,2,Marathahalli,Apartment,166.76,Rajesh Kumar,9983847537,rajesh.kumar@gmail.com
2082,4,5,17,0,Koramangala,Independent House,437.9,Sneha Patil,9788592174,sneha.patil@gmail.com
818,3,5,5,2,Whitefield,Villa,145.2,Rajesh Kumar,9881692464,rajesh.kumar@gmail.com
4000,5,5,1,0,BTM,Independent House,594.5,Vikram Singh,9437930093,vikram.singh@gmail.com
622,2,5,10,3,Koramangala,Apartment,139.4,Sneha Patil,9206437939,sneha.patil@gmail.com
1319,2,5,18,2,HSR Layout,Independent House,235.23,Anil Sharma,9959092648,anil.sharma@gmail.com
4079,3,4,13,2,Electronic City,Independent House,383.61,Sneha Patil,9644125901,sneha.patil@gmail.com
1525,1,1,19,1,Yelahanka,Villa,150.0,Meera Joshi,9004353284,meera.joshi@gmail.com
3695,3,2,4,3,Indiranagar,Villa,829.9,Arjun Reddy,9532919030,arjun.reddy@gmail.com
2377,1,4,16,0,Indiranagar,Villa,527.94,Vikram Singh,9430969163,vikram.singh@gmail.com
1224,4,5,13,1,BTM,Independent House,194.86,Sneha Patil,9044427462,sneha.patil@gmail.com
1121,3,4,2,1,Koramangala,Villa,246.2,Priya Rao,9800891054,priya.rao@gmail.com
1786,3,5,15,0,Whitefield,Independent House,285.4,Meera Joshi,9372263047,meera.joshi@gmail.com
1203,2,1,4,3,Indiranagar,Independent House,274.66,Anil Sharma,9379901436,anil.sharma@gmail.com
1900,4,5,16,1,Marathahalli,Independent House,250.0,Priya Rao,9980993507,priya.rao@gmail.com
4670,2,3,17,3,Koramangala,Apartment,941.5,Meera Joshi,9242953016,meera.joshi@gmail.com
3410,1,4,2,1,Marathahalli,Independent House,421.2,Sneha Patil,9753322307,sneha.patil@gmail.com
1662,4,5,9,2,Yelahanka,Villa,191.7,Meera Joshi,9855840721,meera.joshi@gmail.com
4237,5,5,10,3,Whitefield,Apartment,665.55,Vikram Singh,9998799246,vikram.singh@gmail.com
1166,5,2,16,3,BTM,Villa,184.24,Priya Rao,9408417404,priya.rao@gmail.com
3844,4,3,0,1,HSR Layout,Independent House,679.48,Arjun Reddy,9600204826,arjun.reddy@gmail.com
2833,2,3,3,3,Yelahanka,Independent House,297.8,Rajesh Kumar,9816307788,rajesh.kumar@gmail.com
1969,4,2,11,2,Electronic City,Apartment,195.71,Priya Rao,9018436089,priya.rao@gmail.com
4241,2,3,14,2,Indiranagar,Independent House,942.02,Vikram Singh,9612427866,vikram.singh@gmail.com
2069,3,1,18,2,Koramangala,Apartment,421.8,Sneha Patil,9357249155,sneha.patil@gmail.com
4609,4,2,13,0,Electronic City,Independent House,432.31,Arjun Reddy,9866985402,arjun.reddy@gmail.com
3143,4,4,0,3,Whitefield,Independent House,499.45,Arjun Reddy,9662263095,arjun.reddy@gmail.com
2037,4,1,10,0,Whitefield,Apartment,322.55,Rajesh Kumar,9286455015,rajesh.kumar@gmail.com
4834,4,3,16,3,HSR Layout,Apartment,839.78,Priya Rao,9268455439,priya.rao@gmail.com
812,1,4,1,2,HSR Layout,Villa,150.54,Meera Joshi,9711280638,meera.joshi@gmail.com
1232,4,4,8,3,Marathahalli,Independent House,171.84,Priya Rao,9197996331,priya.rao@gmail.com
2016,5,2,3,0,Whitefield,Independent House,329.9,Arjun Reddy,9324407141,arjun.reddy@gmail.com
2841,3,2,13,0,Yelahanka,Independent House,296.6,Meera Joshi,9551405031,meera.joshi@gmail.com
4366,4,5,19,0,HSR Layout,Independent House,762.72,Arjun Reddy,9931301078,arjun.reddy@gmail.com
2744,2,1,1,2,Koramangala,Independent House,560.3,Anil Sharma,9237967970,anil.sharma@gmail.com
3350,3,3,10,2,Electronic City,Independent House,317.5,Sneha Patil,9016867276,sneha.patil@gmail.com
1018,2,5,11,2,BTM,Villa,157.02,Sneha Patil,9929339028,sneha.patil@gmail.com
1743,5,5,10,3,Marathahalli,Apartment,239.16,Vikram Singh,9571832768,vikram.singh@gmail.com
2664,3,1,6,3,Koramangala,Independent House,546.8,Vikram Singh,9241639809,vikram.singh@gmail.com
2931,4,4,20,0,Indiranagar,Apartment,662.82,Rajesh Kumar,9240136476,rajesh.kumar@gmail.com
2447,2,5,15,0,Koramangala,Villa,501.9,Meera Joshi,9011588539,meera.joshi@gmail.com
617,1,4,12,3,Yelahanka,Independent House,68.7,Sneha Patil,9960250138,sneha.patil@gmail.com
632,3,1,15,2,HSR Layout,Villa,116.94,Anil Sharma,9542153462,anil.sharma@gmail.com
1120,3,1,18,0,Whitefield,Apartment,176.0,Meera Joshi,9286538803,meera.joshi@gmail.com
4336,3,4,17,1,Indiranagar,Villa,968.42,Arjun Reddy,9027232048,arjun.reddy@gmail.com
3115,1,4,18,1,Whitefield,Independent House,471.25,Meera Joshi,9523341083,meera.joshi@gmail.com
2098,4,1,15,0,Electronic City,Villa,203.32,Meera Joshi,9824719626,meera.joshi@gmail.com
3304,4,2,8,3,BTM,Villa,482.56,Rajesh Kumar,9993006329,rajesh.kumar@gmail.com
2353,1,2,7,3,Koramangala,Independent House,476.1,Meera Joshi,9090683008,meera.joshi@gmail.com
3855,5,5,9,3,Marathahalli,Villa,493.1,Arjun Reddy,9210235763,arjun.reddy@gmail.com
1397,5,1,1,2,Indiranagar,Villa,333.84,Vikram Singh,9604245741,vikram.singh@gmail.com
2430,3,5,10,0,BTM,Independent House,360.2,Priya Rao,9058908236,priya.rao@gmail.com
1109,4,5,9,1,Yelahanka,Independent House,136.4,Sneha Patil,9083900289,sneha.patil@gmail.com
3506,2,2,4,0,Marathahalli,Villa,432.72,Meera Joshi,9209248665,meera.joshi@gmail.com
4156,1,5,6,3,HSR Layout,Independent House,718.52,Meera Joshi,9935918842,meera.joshi@gmail.com
4258,1,1,16,3,BTM,Independent House,595.12,Meera Joshi,9385943907,meera.joshi@gmail.com
4011,1,3,8,0,Koramangala,Independent House,809.2,Vikram Singh,9316942639,vikram.singh@gmail.com
1681,4,2,10,3,Yelahanka,Independent House,187.1,Arjun Reddy,9838705339,arjun.reddy@gmail.com
1834,2,5,0,0,Koramangala,Apartment,386.8,Arjun Reddy,9884753140,arjun.reddy@gmail.com
2446,5,5,15,0,Marathahalli,Apartment,321.02,Meera Joshi,9346477437,meera.joshi@gmail.com
790,3,3,9,3,Marathahalli,Villa,111.3,Anil Sharma,9198333322,anil.sharma@gmail.com
2589,4,3,5,1,Electronic City,Independent House,256.51,Priya Rao,9650281380,priya.rao@gmail.com
1526,5,4,4,3,HSR Layout,Independent House,290.42,Arjun Reddy,9567186823,arjun.reddy@gmail.com
1589,5,2,10,3,Electronic City,Villa,167.01,Sneha Patil,9144924726,sneha.patil@gmail.com
4450,1,3,19,3,Indiranagar,Apartment,980.5,Arjun Reddy,9094494034,arjun.reddy@gmail.com
1505,4,1,19,2,Electronic City,Independent House,147.95,Meera Joshi,9312625310,meera.joshi@gmail.com
3498,4,1,6,2,Yelahanka,Independent House,368.8,Meera Joshi,9631007174,meera.joshi@gmail.com
1233,2,5,5,1,Indiranagar,Apartment,288.76,Priya Rao,9241460965,priya.rao@gmail.com
3243,5,4,10,0,Indiranagar,Villa,741.46,Arjun Reddy,9658367489,arjun.reddy@gmail.com
3988,3,3,6,1,Koramangala,Apartment,815.6,Anil Sharma,9775544171,anil.sharma@gmail.com
2844,5,1,9,1,Yelahanka,Villa,306.9,Anil Sharma,9184582981,anil.sharma@gmail.com
2478,4,1,4,2,Yelahanka,Apartment,267.8,Vikram Singh,9575517669,vikram.singh@gmail.com
1823,1,3,17,0,Yelahanka,Villa,184.8,Priya Rao,9246641118,priya.rao@gmail.com
1475,1,2,16,2,Yelahanka,Apartment,148.5,Sneha Patil,9777031726,sneha.patil@gmail.com
661,2,1,17,3,Electronic City,Apartment,62.99,Meera Joshi,9492682475,meera.joshi@gmail.com
3611,3,2,1,3,BTM,Independent House,524.04,Rajesh Kumar,9549974542,rajesh.kumar@gmail.com
3696,4,3,19,3,Whitefield,Independent House,570.9,Anil Sharma,9741823628,anil.sharma@gmail.com
1256,2,5,9,2,Yelahanka,Independent House,141.1,Rajesh Kumar,9917937114,rajesh.kumar@gmail.com
622,1,5,6,1,HSR Layout,Apartment,117.74,Anil Sharma,9079189480,anil.sharma@gmail.com
1102,3,2,15,3,HSR Layout,Apartment,198.84,Meera Joshi,9277354184,meera.joshi@gmail.com
2364,1,4,20,0,Whitefield,Independent House,357.6,Arjun Reddy,9465852155,arjun.reddy@gmail.com
1796,4,2,11,1,Koramangala,Villa,377.7,Meera Joshi,9992245511,meera.joshi@gmail.com
4111,5,3,18,0,Whitefield,Independent House,638.65,Anil Sharma,9765932117,anil.sharma@gmail.com
2468,2,3,12,2,BTM,Independent House,355.52,Sneha Patil,9492609671,sneha.patil@gmail.com
4850,1,4,13,0,HSR Layout,Apartment,831.0,Vikram Singh,9852402982,vikram.singh@gmail.com
4517,4,1,10,1,Whitefield,Independent House,694.55,Vikram Singh,9627971392,vikram.singh@gmail.com
1719,3,5,5,3,Koramangala,Apartment,366.3,Vikram Singh,9582447644,vikram.singh@gmail.com
3996,5,3,19,0,BTM,Independent House,580.94,Meera Joshi,9955899877,meera.joshi@gmail.com
3715,3,3,8,2,Indiranagar,Villa,834.3,Rajesh Kumar,9955263418,rajesh.kumar@gmail.com
1837,1,5,4,3,Marathahalli,Apartment,233.44,Priya Rao,9355080041,priya.rao@gmail.com
787,2,3,6,3,Electronic City,Independent House,83.83,Vikram Singh,9983823036,vikram.singh@gmail.com
4542,2,3,11,3,Whitefield,Independent House,691.8,Arjun Reddy,9188410229,arjun.reddy@gmail.com
1443,4,3,13,2,Whitefield,Apartment,235.95,Meera Joshi,9734899861,meera.joshi@gmail.com
1391,1,2,19,3,Yelahanka,Independent House,138.6,Rajesh Kumar,9298641752,rajesh.kumar@gmail.com
2743,1,3,1,1,BTM,Independent House,394.52,Meera Joshi,9409287100,meera.joshi@gmail.com
3863,1,4,2,2,Electronic City,Apartment,359.67,Rajesh Kumar,9427743833,rajesh.kumar@gmail.com
3621,1,4,0,2,Marathahalli,Apartment,447.52,Vikram Singh,9446083906,vikram.singh@gmail.com
1602,1,1,11,0,Koramangala,Independent House,321.9,Anil Sharma,9515634864,anil.sharma@gmail.com
3761,2,2,4,1,Electronic City,Apartment,350.49,Arjun Reddy,9419353306,arjun.reddy@gmail.com
4872,2,5,3,2,BTM,Villa,700.58,Anil Sharma,9167568556,anil.sharma@gmail.com
1560,2,1,7,2,Marathahalli,Villa,195.7,Sneha Patil,9935932885,sneha.patil@gmail.com
2294,2,5,1,2,Indiranagar,Villa,524.18,Vikram Singh,9369272254,vikram.singh@gmail.com
1919,5,5,1,3,BTM,Apartment,303.16,Vikram Singh,9448308482,vikram.singh@gmail.com
2995,2,5,20,2,Marathahalli,Villa,369.4,Vikram Singh,9806473711,vikram.singh@gmail.com
4564,3,4,18,0,Whitefield,Villa,698.6,Anil Sharma,9732802813,anil.sharma@gmail.com
835,4,2,5,3,Koramangala,Independent House,188.5,Priya Rao,9620999414,priya.rao@gmail.com
2135,4,5,17,1,Whitefield,Independent House,341.75,Priya Rao,9249112412,priya.rao@gmail.com
3464,5,3,4,0,Yelahanka,Independent House,375.4,Priya Rao,9286473914,priya.rao@gmail.com
2307,1,1,16,2,Koramangala,Villa,460.4,Sneha Patil,9381180325,sneha.patil@gmail.com
1140,2,3,17,0,BTM,Independent House,167.1,Anil Sharma,9781616583,anil.sharma@gmail.com
4429,1,3,1,0,Indiranagar,Independent House,984.88,Vikram Singh,9648052202,vikram.singh@gmail.com
2716,2,4,0,3,Indiranagar,Villa,615.52,Anil Sharma,9509839078,anil.sharma@gmail.com
1360,1,1,20,0,Koramangala,Independent House,269.0,Vikram Singh,9015035737,vikram.singh@gmail.com
